v2018,v2020,v2022,concept,備註,遺失很多/或有規律
x01,x01,x01,受訪者編號,*,
x02,x02,x02,訪問年,*,
x03z01,x03z01,x03z01,訪問月,,
a01,a01,a01,性別,,
a02a01,a02a01,a02z01,出生民國年,,
a02a02,a02a02,a02z02,出生月,,
x05,x05,x05,現居地,,
e07c,e07c ,f11,住宅種類,,
b18,b18,b35,上網_高中,*,
b36,b36,b73,上網_大學,*,
,e04z01,m10z01,網癮_1,*,*2018沒有
,e04z02,m10z02,網癮_2,*,*2018沒有
,e04z03,m10z03,網癮_3,*,*2018沒有
,e04z04,m10z04,網癮_4,*,*2018沒有
,e04z05,m10z05,網癮_5,*,*2018沒有
b02a,b02a,b03,學校種類,,
,,b30,高等教育排名_2022,,*很多
,,b70,大學教育排名_2022,,*很多
b14,b14,,教育排名_2018_2020,,*很多
b13a,b13a,b29z01,課程難易度,,僅高中生回答
b13b,b13b,b29z02,學校規定與作息,*,僅高中生回答
b56a,b56a,b99z01,到朋友家過夜,*,
b56b,b56b,b99z02,每天幾點鐘要回家,*,
b56c,b56c,b99z03,穿著和儀容,*,
b56d,b56d,b99z04,生活作息,*,
b56e,b56e,b99z05,上網的時間,*,
b56f,b56f,b99z06,交男／女朋友,*,
b56g,b56g,b99z07,金錢使用,*,
b56h,b56h,b99z08,工作選擇,*,
e10f1,e10f1,h06f1,父親目前的健康,,
e12df1,e12df1,h18f1,向父親說心事,*,
e10m1,e10m1,h06m1,母親目前的健康,,
e12dm1,e12dm1,h18m1,向母親說心事,*,
f02b01,f02b01,k27z01,中低收入戶生活補助,,*很多
f02b02,f02b02,k27z02,重大傷病、傷病醫療補助,,*很多
a05a,w01a,a06,生活過得快樂嗎,*,
a05b,w01c,a09,生活過得好不好,*,